material_name,source_sheet,vendor,material_family,process_family,compatible_printers,supports_light_transparency,opacity,color,supports_esd,supports_flame_retardant,flame_standard,RF_Transparency,supports_biocompatibility,biocompatibility_standards,Sterilization,Heat_Defletion_Temperture_hdt_c,CTE_Linear_um_mC,Common Applications,general_notes,tensile_strength_mpa,elastic_modulus_gpa,elongation_at_break_pct_min,impact_strength_j_per_m,shore_hardness,material_cost_ILS_kg
Nylon 11,HP_Powder,HP,powder,SLS/MJF,5600,no,No,Grey,no,No,no,,yes,EN ISO 10993-5:2009;ISO 10993-10:2010(R)2014;ISO 10993-10:2010/(R)2014;ISO 10993-11: 2017,,185,,,Nylon 11 availability limited,54,1.7,25,,,
Nylon 11 Gen2,HP_Powder,HP,powder,SLS/MJF,,no,No,Grey,no,No,no,,unknown,,,185,,,,54,1.7,21,,,
TPU,HP_Powder,HP,powder,SLS/MJF,,no,No,Grey,unknown,No,no,,no,No,,,,,,,,,,,200
Onyx,MF_Fillamnt,Markforged,filament,FDM/FFF,Mark Two;Onyx Pro;X3;X5;X7;FX10;FX20,no,No,Black,no,No,no,No,no,No,,145,,,Onyx is an engineering-grade matrix specifically optimized for Continuous Fiber Reinforcement (CFR); it offers superior UV resistance and durability for demanding applications,37,2.4,25,330,85D,1000
Onyx FR,MF_Fillamnt,Markforged,filament,FDM/FFF,X3;X5;X7;FX20,no,No,Black,no,yes,UL94 V0,No,no,No,,145,,,Onyx is an engineering-grade matrix specifically optimized for Continuous Fiber Reinforcement (CFR); it offers superior UV resistance and durability for demanding applications,40,3,18,,85D,1170
Onyx FR-A,MF_Fillamnt,Markforged,filament,FDM/FFF,X3;X5;X7;FX20,no,No,Black,no,yes,UL94 V0,No,no,No,,145,,,"Onyx is an engineering-grade matrix specifically optimized for Continuous Fiber Reinforcement (CFR); it offers superior UV resistance and durability for demanding applications | Onyx FR-A LOT traceabilty,",16.2,3.27,3.9,,85D,1225
Onyx ESD,MF_Fillamnt,Markforged,filament,FDM/FFF,X3;X5;X7;FX10;FX20,no,No,Black,yes,no,no,No,no,No,,138,,,"Onyx ESD Suitable for continuous fiber reinforcement, anti-static properties, Not recomended for extended UV exposure",50,4.2,,44,85D,1150
Nylon White,MF_Fillamnt,Markforged,filament,FDM/FFF,Mark Two;Onyx Pro;X3;X5;X7;FX10,no,No,White,no,no,no,,no,,,,,,,,,,,,923
Nylon White FS,MF_Fillamnt,Markforged,filament,FDM/FFF,FX10,no,No,White,no,no,no,,no,,,,,,,,,,,,
PLA,MF_Fillamnt,Markforged,filament,FDM/FFF,Mark Two;Onyx Pro;X3;X5;X7,no,No,Black;White;Red,no,no,no,,no,,,55,,,,,,,,82D,100
TPU,MF_Fillamnt,Markforged,filament,FDM/FFF,Mark Two;Onyx Pro;X3;X5;X7,no,No,Black;White,no,no,no,,no,,,,,,,,,,,80A,
Ultem 9085,MF_Fillamnt,Markforged,filament,FDM/FFF,FX20,no,No,Black,no,yes,,Yes,no,,,175,,,,48,2.52,2.1,70,79D,2100
Vega,MF_Fillamnt,Markforged,filament,FDM/FFF,FX20,no,No,Black,no,yes,FAR 25.853,No,no,No,,164,,,,48,5.2,2.5,48,,4700
